Time,SaaS Email Marketing
01-01-2021,0
01-02-2021,0
01-03-2021,0
01-04-2021,0
01-05-2021,0
01-06-2021,0
01-07-2021,0
01-08-2021,0
01-09-2021,0
01-10-2021,0
01-11-2021,0
01-12-2021,0
01-01-2022,0
01-02-2022,0
01-03-2022,0
01-04-2022,0
01-05-2022,20
01-06-2022,0
01-07-2022,20
01-08-2022,0
01-09-2022,37
01-10-2022,24
01-11-2022,0
01-12-2022,0
01-01-2023,0
01-02-2023,0
01-03-2023,0
01-04-2023,0
01-05-2023,0
01-06-2023,0
01-07-2023,0
01-08-2023,22
01-09-2023,0
01-10-2023,0
01-11-2023,0
01-12-2023,24
01-01-2024,25
01-02-2024,0
01-03-2024,0
01-04-2024,0
01-05-2024,0
01-06-2024,0
01-07-2024,0
01-08-2024,0
01-09-2024,32
01-10-2024,0
01-11-2024,0
01-12-2024,0
01-01-2025,0
01-02-2025,0
01-03-2025,0
01-04-2025,34
01-05-2025,0
01-06-2025,49
01-07-2025,42
01-08-2025,0
01-09-2025,0
01-10-2025,0
01-11-2025,59
01-12-2025,100
01-01-2026,7
